,Date,consumption,state
0,202110,11516.78902,AL
1,202109,11887.54555,AL
2,202108,13534.70296,AL
3,202107,13225.8256,AL
4,202106,11775.71239,AL
5,202105,10815.11342,AL
6,202104,8687.86519,AL
7,202103,10057.89195,AL
8,202102,10885.6325,AL
9,202101,12010.40171,AL
10,202012,11730.7258,AL
11,202011,9565.1496,AL
12,202010,9778.33971,AL
13,202009,11804.69675,AL
14,202008,13175.23694,AL
15,202007,13323.43835,AL
16,202006,12334.98651,AL
17,202005,10528.85833,AL
18,202004,8829.60908,AL
19,202003,10240.82312,AL
20,202002,10304.93023,AL
21,202001,11137.44892,AL
22,201912,11060.19676,AL
23,201911,10801.37271,AL
24,201910,10833.72773,AL
25,201909,12180.4869,AL
26,201908,13230.8446,AL
27,201907,13043.96381,AL
28,201906,12233.2841,AL
29,201905,11855.49913,AL
30,201904,9333.60237,AL
31,201903,10705.64452,AL
32,201902,10449.67584,AL
33,201901,12048.54253,AL
34,201812,11120.44088,AL
35,201811,10327.05453,AL
36,201810,10195.23364,AL
37,201809,12253.08418,AL
38,201808,13442.54769,AL
39,201807,14078.06926,AL
40,201806,13078.20239,AL
41,201805,12083.92544,AL
42,201804,10738.07435,AL
43,201803,10298.11336,AL
44,201802,9626.42493,AL
45,201801,13194.74596,AL
46,201712,11573.52471,AL
47,201711,10406.78371,AL
48,201710,10683.00931,AL
49,201709,11091.71957,AL
50,201708,12932.37925,AL
51,201707,13773.94552,AL
52,201706,11758.32498,AL
53,201705,11516.08298,AL
54,201704,10862.58737,AL
55,201703,10782.48465,AL
56,201702,9583.14017,AL
57,201701,10562.89601,AL
58,201612,11461.85331,AL
59,201611,10321.08221,AL
60,201610,9989.37273,AL
61,201609,12621.95394,AL
62,201608,13694.68354,AL
63,201607,13513.68423,AL
64,201606,12103.21077,AL
65,201605,10749.35319,AL
66,201604,9333.16344,AL
67,201603,10703.25141,AL
68,201602,11070.77594,AL
69,201601,12567.69231,AL
70,201512,12150.99667,AL
71,201511,11345.55643,AL
72,201510,11928.93484,AL
73,201509,12569.76797,AL
74,201508,13816.31074,AL
75,201507,14635.72443,AL
76,201506,13454.16126,AL
77,201505,11960.56281,AL
78,201504,9983.12414,AL
79,201503,11339.87074,AL
80,201502,11902.53805,AL
81,201501,13172.96305,AL
82,201412,12446.29328,AL
83,201411,11751.97704,AL
84,201410,10662.6411,AL
85,201409,12173.60859,AL
86,201408,13430.99719,AL
87,201407,13296.56687,AL
88,201406,12756.71016,AL
89,201405,12128.67172,AL
90,201404,10498.21283,AL
91,201403,11358.38952,AL
92,201402,11048.00761,AL
93,201401,13950.5341,AL
94,201312,12665.27986,AL
95,201311,11572.81616,AL
96,201310,11545.42501,AL
97,201309,12200.06341,AL
98,201308,13722.37187,AL
99,201307,13347.96677,AL
100,201306,12738.32284,AL
101,201305,11718.36671,AL
102,201304,10297.08439,AL
103,201303,12192.79953,AL
104,201302,11935.05457,AL
105,201301,12489.83589,AL
106,201212,12490.0217,AL
